student_id,prompt_id,text,content,wording,prompt_question,prompt_title,prompt_text,text_length,word_count,number_count,punctuation_count,stopword_count
7434c9fa6e04,39c16e,"It must involve a change in fortune from good to bad, the change in fortune must come from a great error, and the plot should focus on one single issue rather than multiple.",-0.639882183724882,-1.38273829472334,"Summarize at least 3 elements of an ideal tragedy, as described by Aristotle.",On Tragedy,"Chapter 13 
As the sequel to ...",173,33,0,3,13
5a77a1f31be5,3b9047,"Different social classes are involved in the government by contributing to the economy. To start off, the high-class a.k.a. the pharaohs they were there for leadership. For example, "" Their leaders, called pharaohs, were believed to be gods in human form. They had absolute power over their subjects."" Then the pharaohs have powerful people who are right under them, they are the visors. The visors kept track of everything happening in the kingdom and they knew how to read and write. For example, "" Working with the vizier were scribes who kept government records. These high-level employees had mastered a rare skill in ancient Egypt — they could read and write."" Next are the Nobles and the Priests, They were known for pleasing the gods. For example, "" Only nobles could hold government posts; in these positions, they profited from tributes paid to the pharaoh. Priests were responsible for pleasing the gods."" Therefore The priests and nobles were pretty high on the ranks. You would need to protect all the higher-ups so you would soldiers! Soldiers protect and watch over everything happening in the city. To explain, ""Soldiers fought in wars or quelled domestic uprisings. During long periods of peace, soldiers also supervised the peasants, farmers, and slaves who were involved in building such structures as pyramids and palaces."" Next are the people who were at the bottom of the food chain they were slaves, peasants, and farmers. The three I just listed provided and did everything for the pharaoh and other people who high a higher standing than them, for example, ""At the bottom of the social structure were slaves and farmers. Slavery became the fate of those captured as prisoners of war. In addition to being forced to work on building projects, slaves toiled at the discretion of the pharaoh or nobles.""",2.72366995502716,0.956654054853448,"In complete sentences, summarize the structure of the ancient Egyptian system of government. How were different social classes involved in this government? Cite evidence from the text.",Egyptian Social Structure,Egyptian society was structure...,1825,304,0,55,125
84c15531acf0,814d6b,Because it was at a school and when something at a school is popular other kids will do it or join that group.The experiment was ended because it was getting out of hand.,-0.890893446019654,0.215294189923691,Summarize how the Third Wave developed over such a short period of time and why the experiment was ended.,The Third Wave,"Background 
The Third Wave ex...",170,33,0,2,21
dde8cc7e479f,814d6b,"Once the Third Wave was created, more and more students started to conform to the basic ideas and beliefs of the program. Once one person does it, then ten more have to follow that person, and so on. Our world is based so much on trying to be like others and be followers that it does not take much to get hundreds or in some cases, millions of people to follow and conform without so much as a budge. The experiment ended because there were so many ""followers"" that it was getting out of hand and Jones wanted to show the students what exactly they had been doing this whole time. ",0.467951978435572,2.35311224666982,Summarize how the Third Wave developed over such a short period of time and why the experiment was ended.,The Third Wave,"Background 
The Third Wave ex...",582,111,0,10,58
6fc1871b199d,3b9047,"    In ancient Egypt the system of governent was like a pyramid but it was based off of how much money you have which is like our society today. The more money you had the the higher you get,  the less money you had the lower you were.  ",-0.39331016991752,0.627128228216951,"In complete sentences, summarize the structure of the ancient Egyptian system of government. How were different social classes involved in this government? Cite evidence from the text.",Egyptian Social Structure,Egyptian society was structure...,237,47,0,3,26
fc4d708ae50d,39c16e,"An ideal tragedy should have a complicated plot, should make the ready feel pity or fear, and should follow the perspective of a middle ground man who is not bad or good.",-0.964717727264813,-1.6283678131373,"Summarize at least 3 elements of an ideal tragedy, as described by Aristotle.",On Tragedy,"Chapter 13 
As the sequel to ...",170,32,0,3,15
94aee5b209b8,39c16e,"A perfect tragedy should, as we have seen, be arranged not on the simple but on the complex plan, Change of fortune presented must not be the spectacle of a virtuous man brought from prosperity to adversity, well-constructed plot should, therefore, be single in its issue, rather than double as some maintain. ",-1.54716321678788,-1.46124482282529,"Summarize at least 3 elements of an ideal tragedy, as described by Aristotle.",On Tragedy,"Chapter 13 
As the sequel to ...",310,52,0,9,24
793cc0fba627,39c16e,"One important element is that the plot is very complex, and sometimes there are multiple. Rather than a simple plot that gets resolved, plots in tragedies have twists and turns that the audience doesn't expect.",-0.0938138317174397,0.503832933489619,"Summarize at least 3 elements of an ideal tragedy, as described by Aristotle.",On Tragedy,"Chapter 13 
As the sequel to ...",210,35,0,5,17
359afc32ef88,3b9047,"the gods and pharaohs had the most power, meaning they were on the top of the social government. the pharaohs were supposed to have all the power. ""pharaohs, were believed to be gods in human form. They had absolute power over their subjects."" (Par 6) The system goes all the way down to the slaves who had no power in anything. the slaves were captured  from their enemies. "" Slavery became the fate of those captured as prisoners of war. In addition to being forced to work on building projects, slaves toiled at the discretion of the pharaoh or nobles.""(Par 11)",0.531367778754094,0.583991473066364,"In complete sentences, summarize the structure of the ancient Egyptian system of government. How were different social classes involved in this government? Cite evidence from the text.",Egyptian Social Structure,Egyptian society was structure...,564,101,0,19,51
3ff34d6f11c7,39c16e,"Three elements of an ideal tragedy would have a complex plan. Another element would be that it has a well-constructed plot and lastly, the story or the change of fortune in the story should go from good to bad.",-0.62764732431351,-0.125597133679325,"Summarize at least 3 elements of an ideal tragedy, as described by Aristotle.",On Tragedy,"Chapter 13 
As the sequel to ...",210,39,0,4,19
f975d68cdce2,39c16e,"As described in the text ""A perfect tragfedy should, as we have seen, arranged not on the simple but on the complex plan"". Another tradegy would "" a virtous man brought prosperity to adversity: for this moves neither pity nor fear; it"". And at last another form of tradegy would be""one who is highly renbowned and prosperous-a personage like Oedipus,Thyestes or orther illustrious men of such families"".",0.217687377025056,-0.801086376057771,"Summarize at least 3 elements of an ideal tragedy, as described by Aristotle.",On Tragedy,"Chapter 13 
As the sequel to ...",403,67,0,15,24
d325a51ba68f,3b9047,"There was different classes involved in this government because the upper class consisted of the royal family, rich landowners, government officials, important priests and army officers, and doctors. ",-1.54716321678788,-1.46124482282529,"In complete sentences, summarize the structure of the ancient Egyptian system of government. How were different social classes involved in this government? Cite evidence from the text.",Egyptian Social Structure,Egyptian society was structure...,200,28,0,5,9
5dd8e453070b,3b9047,"The structure of the ancient Egyptian system of government was similar to a pyramid (where the ruling family (or dynasty) are up on top but not many, while the middle-class and lowest-class were more plentiful), and also involved various different social classes. Each class had responsibilities that they owed to the government to fufill, and those responsibilities needed to be fufilled in order to make a functioning society. I know this because in the text that I cited from, the author states multiple scenarios where people of all classes are needed for a functioning government. One of those scenarios that the author states are when soldiers, most commonly part of the middle-class by my guess, go off to war.  Another example that the author says in the text is when farmers, a part of the bottom class, tend their fields, raised their animals, and more. Ancient Egyptians would not be able to live without farmers, because they grew and raised plenty of food. That is why different social classes were involved in the Ancient Egyptian government.",1.48834052634457,2.26253443544153,"In complete sentences, summarize the structure of the ancient Egyptian system of government. How were different social classes involved in this government? Cite evidence from the text.",Egyptian Social Structure,Egyptian society was structure...,1056,176,0,25,80
